salary,city,company_link,name,person,page_id,company,work,experience,company_field,tag,company_finance,address,date,homepage,company_hope,company_size
[15-25k],"北京,海淀区",www.neitui.me/company/detail/domain=diditaxi.com.cn.html,滴滴打车,乔丹,438523,公司：滴滴打车 ,系统开发工程师,[3-5年经验],汽车交通,"团队靠谱,国内最强商保",C轮 ,地点：北京市海淀区西二旗中关村软件园,02月15日,http://xiaojukeji.com,,1000以上
[5-8k],上海市黄浦区淮海东路45号东淮海国际大厦17楼1703 -1708室,www.neitui.me/company/detail/domain=popularkind.com.html,众佳商务咨询有限公司,萝卜SZNJ,445250,公司：众佳销售部 ,医药代表,[1-3年经验],医疗健康,"带薪年假,电话补贴,交通补贴,五险一金",未融资 ,地点：深圳,02月15日,http://popularkind.com/index.php,,100-500人
[18-27k],上海浦东新区亮秀路112号Y1栋310,www.neitui.me/company/detail/domain=qiniu.com.html,七牛云存储,吕强,429892,公司：七牛云存储 ,前端工程师,[1-3年经验],移动互联网,"零食饮料常年畅,弹性办公,国外旅游,补充商业医疗保",D轮 1亿+美金,地点：上海市浦东新区亮秀路112号Y1栋310室,02月15日,http://www.qiniu.com, 打造最专业最友好的云存储,100-500人
[13-25k],"北京,海淀区",www.neitui.me/company/detail/domain=diditaxi.com.cn.html,滴滴打车,乔丹,348326,公司：嘀嘀打车技术部门 ,web前端工程师,[3-5年经验],汽车交通,期权，晚餐,C轮 ,地点：北京市海淀区西二旗中关村软件园,02月15日,http://xiaojukeji.com,,1000以上
[16-24k],上海浦东新区亮秀路112号Y1栋310,www.neitui.me/company/detail/domain=qiniu.com.html,七牛云存储,吕强,429186,公司：七牛云存储 ,服务端工程师,[1-3年经验],移动互联网,"零食饮料常年畅,弹性办公,国外旅游,补充商业医疗保",D轮 1亿+美金,地点：上海市浦东新区亮秀路112号Y1栋310室,02月15日,http://www.qiniu.com, 打造最专业最友好的云存储,100-500人
[15-28k],"北京,海淀区",www.neitui.me/company/detail/domain=diditaxi.com.cn.html,滴滴打车,乔丹,391773,公司：滴滴打车基础架构部门 ,运维工程师,[3-5年经验],汽车交通,"期权，晚餐,各种团建各种h",C轮 ,地点：北京市海淀区上地东路9号得实大厦5层北区,02月15日,http://xiaojukeji.com,,1000以上
[30-50k],"北京,海淀区",www.neitui.me/company/detail/domain=diditaxi.com.cn.html,滴滴打车,乔丹,438525,公司：滴滴打车 ,Java架构师,[5-10年经验],汽车交通,"团队靠谱,国内最强商保",C轮 ,地点：北京市海淀区西二旗中关村软件园,02月15日,http://xiaojukeji.com,,1000以上
[15-23k],上海浦东新区亮秀路112号Y1栋310,www.neitui.me/company/detail/domain=qiniu.com.html,七牛云存储,吕强,430291,公司：七牛云存储 ,售前咨询工程师（上海、北京、深圳、广州）,[1-3年经验],移动互联网,"零食饮料常年畅,弹性办公,国外旅游,补充商业医疗保",D轮 1亿+美金,地点：上海市浦东新区亮秀路112号Y1栋310室,02月15日,http://www.qiniu.com, 打造最专业最友好的云存储,100-500人
[25-40k],"北京,海淀区",www.neitui.me/company/detail/domain=diditaxi.com.cn.html,滴滴打车,乔丹,423443,公司：滴滴打车 ,资深Java开发工程师,[5-10年经验],汽车交通,"期权，晚餐,团队靠谱,待遇丰厚,秒杀BAT的商",C轮 ,地点：北京市海淀区西二旗中关村软件园,02月15日,http://xiaojukeji.com,,1000以上
[10-30k],"浙江,杭州",www.neitui.me/company/detail/domain=mogujie.com.html,蘑菇街,彩米,443278,公司：蘑菇街电商应用 ,资深测试工程师,[3-5年经验],电子商务,"个人快速成长,年度外国旅游,无限量零食,自由开发",D轮 ,地点：杭州市西湖区古墩路99号财富中心,02月15日,http://mogujie.com, 支持菇凉的每个购买决定,500-1000人
